candidate,method,threshold_multiplier,window,k,foreground,accepted,score,volume_fraction,component_count,largest_component_fraction,boundary_foreground_fraction,slice_fraction_cv
otsu_low,otsu,0.93,,,bright,True,0.6913948296336664,0.11939323722508201,2,0.9999099217137803,0.06586974679812638,1.6168380761950998
otsu,otsu,1.0,,,bright,True,0.680714396588176,0.11048330326895156,9,0.9994812078896222,0.07070948416135431,1.7360238709004272
phansalkar_w25_k0.15,phansalkar,,25.0,0.15,bright,True,0.6671200886489164,0.16187909718861365,14,0.996116463807768,0.05141835136942968,1.0858622473747357
otsu_high,otsu,1.07,,,bright,True,0.6639297737680149,0.1023682422358123,60,0.9959922256101201,0.07591849306727856,1.8656964009949624
phansalkar_w15_k0.15,phansalkar,,15.0,0.15,bright,True,0.6625200020808067,0.1659220232595656,14,0.9956667675765497,0.05166880639812853,1.0590012887042493
phansalkar_w25_k0.25,phansalkar,,25.0,0.25,bright,True,0.6482950334659091,0.17391743783028046,27,0.9926904457900495,0.04978606097104216,1.0203799049861666
phansalkar_w15_k0.25,phansalkar,,15.0,0.25,bright,True,0.6437683465992721,0.18114364419415235,15,0.9968911015202433,0.05025445335539068,0.9956888079883172
