edge_id,node_u,node_v,path_length_original_voxels,euclidean_length_original_voxels,tortuosity,orientation_z,orientation_y,orientation_x,path_sample_count,boundary_contact,original_skan_branch_ids,retained_after_pruning
1,1,516,68.56854249492382,57.271284253105414,1.1972586853804634,0.9079593845004517,0.0,0.4190581774617469,14,False,0,True
2,1,8,9.65685424949238,8.94427190999916,1.0796691275336336,0.4472135954999579,0.0,-0.8944271909999159,3,False,1;20,True
3,1,2,22.627416997969522,22.627416997969522,1.0,0.0,0.7071067811865475,0.7071067811865475,5,False,2;4,True
4,2,3861,98.91168824543144,73.10266752998827,1.3530516954782226,0.5471756551645828,-0.8207634827468742,-0.16415269654937484,22,False,3;4,True
5,2,3,11.313708498984761,11.313708498984761,1.0,0.0,0.7071067811865475,0.7071067811865475,3,False,4;6,True
6,3,392,76.2842712474619,67.17142249498666,1.1356655615437559,0.29774566708770683,-0.9527861346806619,0.05954913341754137,18,False,5;6;970,True
7,3,351,81.94112549695429,74.18894796396563,1.1044923502184445,0.21566554640687682,0.10783277320343841,-0.9704949588309457,19,False,7;8;902,True
8,3,21,22.24191172926027,20.396078054371138,1.090499441606792,0.19611613513818404,0.7844645405527362,0.5883484054145521,5,False,8,True
9,4,379,75.31370849898477,62.22539674441618,1.210337136271342,0.25712973861329,-0.0642824346533225,-0.9642365197998376,19,False,9;11,True
10,4,103,23.89876597875265,22.978250586152114,1.04006029045376,0.17407765595569785,-0.6963106238227914,0.6963106238227914,5,False,10;11;288,True
11,4,5,37.941125496954285,36.87817782917155,1.0288232155261727,0.0,0.7592566023652966,-0.6507913734559685,8,False,11;13,True
12,5,6,11.313708498984761,11.313708498984761,1.0,0.0,0.7071067811865475,-0.7071067811865475,3,False,12;15,True
13,5,384,17.65685424949238,16.492422502470642,1.0706040453940167,0.9701425001453319,0.24253562503633297,0.0,5,False,13,True
14,6,449,73.94112549695427,67.17142249498666,1.1007824868153249,0.29774566708770683,-0.05954913341754137,-0.9527861346806619,17,False,14;15;1116,True
15,6,453,64.8693287272298,49.79959839195493,1.3026074671660277,0.4016096644512494,0.722897396012249,-0.5622535302317492,14,False,15;1143,True
16,7,397,30.241911729260266,17.88854381999832,1.6905742599043543,0.8944271909999159,-0.4472135954999579,0.0,7,False,16;18;978,True
17,7,514,117.45147037556163,61.18823416311342,1.9195107030293383,0.7844645405527361,-0.588348405414552,0.19611613513818402,21,False,17;18;1354,True
18,7,13,16.970562748477143,16.97056274847714,1.0000000000000002,0.0,0.7071067811865476,-0.7071067811865476,4,False,25,True
19,7,398,31.31370849898476,22.978250586152114,1.36275424369582,0.6963106238227914,-0.17407765595569785,0.6963106238227914,8,False,24;982,True
20,8,498,108.1801213947785,62.609903369994115,1.7278436089493148,0.7666518779999278,-0.6388765649999398,-0.06388765649999399,19,False,19;20;1344,True
21,8,348,12.0,12.0,1.0,1.0,0.0,0.0,4,False,20;894,True
22,9,478,88.96764691704108,58.787753826796276,1.5133704066864413,0.408248290463863,-0.816496580927726,0.408248290463863,17,False,21;23;1292,True
23,9,115,30.241911729260266,27.129319932501073,1.1147316558064655,0.14744195615489714,0.8846517369293828,0.4423258684646914,7,False,22;23;318,True
24,9,512,72.19663637962259,62.48199740725323,1.155479007962086,0.7682212795973759,-0.6401843996644799,0.0,13,False,23;1351,True
25,10,461,54.241911729260266,31.496031496047245,1.7221824195872941,0.6350006350009525,-0.762000762001143,0.1270001270001905,13,False,26;28,True
26,10,16,24.97056274847714,20.396078054371138,1.2242825646142117,0.0,0.9805806756909202,0.19611613513818404,6,False,27;44,True
27,10,399,13.65685424949238,12.649110640673518,1.0796691275336336,0.9486832980505138,-0.31622776601683794,0.0,4,False,28;984,True
28,11,517,80.58214164833183,49.31531202375181,1.6340186919940998,0.9733285267845753,-0.16222142113076254,0.16222142113076254,15,False,29;31;1386,True
29,11,394,64.48382345852053,47.49736834815167,1.3576293950826832,0.3368607684266076,-0.9263671131731709,0.1684303842133038,14,False,30;31,True
30,11,22,44.2842712474619,37.94733192202055,1.1669930138557139,0.0,0.9486832980505138,0.31622776601683794,10,False,31;57,True
31,12,478,76.18303722621457,64.1248781675256,1.1880418240668957,0.3742697169310832,-0.8732960061725275,-0.31189143077590264,16,False,32;34;1292,True
32,12,347,47.89876597875265,41.7612260356422,1.146967427102648,0.2873478855663454,-0.9578262852211513,0.0,11,False,33;34;892,True
33,12,117,28.58505747976789,25.612496949731394,1.1160589901043472,0.15617376188860607,0.9370425713316364,0.31234752377721214,7,False,34;320,True
34,13,514,113.7386574544596,81.38795979750321,1.3974875121264414,0.6389151433378876,-0.6880624620561867,0.34403123102809335,23,False,35;1820,True
35,13,18,22.627416997969522,22.627416997969522,1.0,0.0,0.7071067811865475,-0.7071067811865475,5,False,36;49,True
36,14,508,124.08180320496719,89.97777503361594,1.3790272448791925,0.5779204918167031,-0.7112867591590193,-0.40009880202694836,26,False,37;39;1835,True
37,14,459,78.62741699796952,67.17142249498666,1.1705486362721866,0.29774566708770683,-0.9527861346806619,0.05954913341754137,19,False,38;39;1176,True
38,14,131,44.97056274847714,40.98780306383839,1.097169386669386,0.09759000729485333,0.9759000729485332,-0.19518001458970666,11,False,39,True
39,15,519,84.56854249492382,61.05735008989499,1.385067356680452,0.7861461384965021,-0.5240974256643347,-0.3275608910402092,18,False,40;42,True
40,15,528,91.49674572519932,49.63869458396343,1.8432544709739165,0.9669875568304563,0.08058229640253803,0.24174688920761409,19,False,41;42;1403,True
41,15,285,45.555620228245026,37.73592452822641,1.2072215216078646,0.211999576001272,0.953998092005724,0.211999576001272,10,False,42;734,True
42,16,461,60.68337566957918,48.33218389437829,1.2555479761103348,0.413802944301184,-0.9103664774626047,0.0,12,False,43;44;1184,True
43,16,24,19.31370849898476,17.88854381999832,1.0796691275336336,0.0,0.8944271909999159,-0.4472135954999579,5,False,44;63,True
44,17,456,92.8693287272298,83.33066662399864,1.1144676082608476,0.24000768036865966,-0.9600307214746386,-0.1440046082211958,21,False,46;1172,True
45,17,110,46.62741699796952,41.95235392680606,1.111437443517949,0.09534625892455924,-0.9534625892455924,0.28603877677367767,11,False,45;47;304,True
46,17,284,30.241911729260266,26.5329983228432,1.139784933511413,0.30151134457776363,0.9045340337332909,0.30151134457776363,7,False,47;730,True
47,18,457,92.28427124746192,82.55906976220118,1.1177968878921807,0.2422507915557546,-0.9690031662230184,-0.04845015831115092,22,False,48;49,True
48,18,20,11.313708498984761,11.313708498984761,1.0,0.0,0.7071067811865475,-0.7071067811865475,3,False,53,True
49,18,462,89.17011495953578,78.99367063252599,1.1288260723362258,0.25318484177091666,-0.10127393670836667,0.9621023987294833,21,False,54;1186,True
50,18,403,34.24191172926027,22.978250586152114,1.4901879323178862,0.6963106238227914,0.17407765595569785,0.6963106238227914,8,False,55;992,True
51,19,518,98.42494895547483,68.46897107449476,1.4375117284643835,0.7010474854043832,-0.584206237836986,-0.40894436648589017,20,False,50;52;1374,True
52,19,531,97.45438620699768,52.306787322488084,1.8631307942152937,0.9941348467724342,-0.07647191129018725,0.07647191129018725,21,False,51;52;1410,True
53,19,27,23.31370849898476,21.540659228538015,1.0823117459700458,0.0,0.9284766908852594,0.3713906763541037,6,False,52;70,True
54,20,116,21.65685424949238,20.396078054371138,1.0618146386653506,0.19611613513818404,-0.9805806756909202,0.0,6,False,58,True
55,20,29,24.970562748477143,23.323807579381203,1.0706040453940167,0.0,0.8574929257125441,-0.5144957554275265,6,False,59;75,True
56,21,122,9.65685424949238,8.94427190999916,1.0796691275336336,0.4472135954999579,0.0,-0.8944271909999159,3,False,60;337,True
57,21,25,11.313708498984761,11.313708498984761,1.0,0.0,0.7071067811865475,0.7071067811865475,3,False,61;68,True
58,22,349,30.24191172926027,20.396078054371138,1.48273171188316,0.5883484054145521,-0.7844645405527362,0.19611613513818404,7,False,56;898,True
59,22,36,64.97056274847715,60.663003552412405,1.0710080105470388,0.0659380473395787,0.9890707100936805,0.1318760946791574,16,False,57;385,True
60,23,393,98.14067770801293,85.60373823613078,1.1464531775154496,0.1869077254063991,-0.9812655583835953,-0.046726931351599776,22,False,64;972,True
61,23,282,19.513260710043397,18.76166303929372,1.04006029045376,0.42640143271122083,-0.6396021490668313,0.6396021490668313,4,False,65;717,True
62,23,31,22.24191172926027,20.396078054371138,1.090499441606792,-0.19611613513818404,0.7844645405527362,-0.5883484054145521,5,False,79;80;346,True
63,23,541,67.41202668879606,50.75431016179808,1.328202993477704,0.9457324874869207,0.31524416249564025,0.07881104062391006,14,False,346;1904,True
64,23,527,61.06888093828843,53.665631459994955,1.1379514090654506,0.7453559924999299,-0.29814239699997197,-0.5962847939999439,12,False,725;1408,True
65,23,541,59.997084168563944,44.721359549995796,1.3415755865268542,0.8944271909999159,0.4472135954999579,0.0,11,False,724;1437,True
66,24,526,88.0818032049672,48.82622246293481,1.8039856200596365,0.9830783046228486,-0.1638463841038081,0.08192319205190406,17,False,62;63;1417,True
67,24,26,8.0,8.0,1.0,0.0,1.0,0.0,3,False,63,True
68,25,538,103.69629793625796,57.271284253105414,1.8106159009457738,0.8381163549234938,0.3492151478847891,-0.4190581774617469,21,False,67;68;1428,True
69,25,26,9.65685424949238,8.94427190999916,1.0796691275336336,0.0,0.4472135954999579,0.8944271909999159,3,False,68,True
70,26,30,16.970562748477143,16.97056274847714,1.0000000000000002,0.0,0.7071067811865476,0.7071067811865476,4,False,71;77,True
71,27,112,55.31370849898477,52.306787322488084,1.05748625236641,0.07647191129018725,-0.9941348467724342,0.07647191129018725,14,False,69;308,True
72,27,133,17.65685424949238,16.492422502470642,1.0706040453940167,0.24253562503633297,0.9701425001453319,0.0,5,False,70;360,True
73,28,29,52.97056274847714,48.16637831516918,1.0997414503924818,0.0,0.08304547985373997,-0.9965457582448796,13,False,72;74;75,True
74,28,530,85.16719912809974,62.0966987850401,1.3715253917591128,0.8374036143210801,-0.3864939758404985,0.3864939758404985,15,False,73;74,True
75,28,666,82.92528739883946,58.51495535331117,1.4171639865080574,0.9570202978345286,0.20507577810739896,-0.20507577810739896,16,False,74;2441,True
76,29,132,16.58505747976789,14.966629547095765,1.1081357648079275,0.2672612419124244,0.5345224838248488,-0.8017837257372732,4,False,75,True
77,30,406,108.2842712474619,85.60373823613078,1.2649479272595405,0.1869077254063991,0.046726931351599776,-0.9812655583835953,26,False,76;77;999,True
78,30,32,16.970562748477143,16.97056274847714,1.0000000000000002,0.0,0.7071067811865476,0.7071067811865476,4,False,77;83,True
79,31,111,74.62741699796952,69.16646586316233,1.0789537395999245,0.05783149319662402,-0.9831353843426084,-0.17349447958987207,18,False,78;80;306,True
80,31,35,42.62741699796952,39.395431207184416,1.082039609461,0.0,0.9138115486202573,-0.40613846605344767,10,False,80;90,True
81,32,128,27.31370849898476,24.657656011875904,1.1077171522641738,0.16222142113076254,-0.9733285267845753,0.16222142113076254,7,False,81;83;351,True
82,32,354,40.97056274847714,30.463092423455635,1.3449246116894908,0.39391929857916763,0.0,-0.9191450300180578,10,False,82;83;908,True
83,32,34,32.2842712474619,31.240998703626616,1.0333943403580814,0.0,0.7682212795973759,0.6401843996644799,7,False,83;88,True
84,33,546,80.58214164833183,53.36665625650534,1.5099717183144477,0.9743911956946198,0.22485950669875843,0.0,15,False,84;86;1937,True
85,33,146,109.25483399593904,96.16652224137046,1.13610049994028,0.04159451654038515,0.04159451654038515,-0.9982683969692436,25,False,85;86;383,True
86,33,464,41.941125496954285,37.94733192202055,1.105245701677808,0.5270462766947299,0.10540925533894598,0.8432740427115678,9,False,86;1190,True
87,34,143,58.241911729260266,52.306787322488084,1.113467576782727,0.07647191129018725,-0.07647191129018725,-0.9941348467724342,14,False,87;88;378,True
88,34,36,11.313708498984761,11.313708498984761,1.0,0.0,0.7071067811865475,0.7071067811865475,3,False,88,True
89,35,527,111.41202668879605,84.09518416651456,1.3248324240326552,0.5707817929853929,-0.8086075400626399,-0.14269544824634822,25,False,89;90,True
90,35,40,28.970562748477143,26.832815729997478,1.0796691275336339,0.0,0.8944271909999159,-0.4472135954999579,7,False,90,True
91,36,38,11.313708498984761,11.313708498984761,1.0,0.0,0.7071067811865475,0.7071067811865475,3,False,92;97,True
92,36,539,63.111240456490066,53.51635264103861,1.1792888966071595,0.8221786020271294,-0.5232045649263551,-0.22423052782558076,12,False,385;1444,True
93,37,407,77.75517243930366,67.05221845696084,1.159621176280883,0.23861999450875743,-0.17896499588156806,-0.9544799780350297,17,False,93;95;1002,True
94,37,408,35.712812921102035,26.5329983228432,1.3459772803119505,0.9045340337332909,-0.30151134457776363,-0.30151134457776363,7,False,95,True
95,37,39,20.970562748477143,18.33030277982336,1.144037990008544,-0.2182178902359924,0.4364357804719848,0.8728715609439696,5,False,100;102;393,True
96,37,408,14.928203230275509,13.2664991614216,1.1252556570226206,0.9045340337332909,-0.30151134457776363,-0.30151134457776363,4,False,393,True
97,38,149,35.31370849898476,32.49615361854384,1.086704257787392,0.12309149097933272,0.12309149097933272,-0.9847319278346618,9,False,96;97;395,True
98,38,139,35.31370849898476,32.49615361854384,1.086704257787392,0.12309149097933272,-0.9847319278346618,0.12309149097933272,9,False,98;99;374,True
99,38,40,11.313708498984761,11.313708498984761,1.0,0.0,0.7071067811865475,0.7071067811865475,3,False,99;104,True
100,39,149,54.92820323027551,52.306787322488084,1.0501161711887514,0.07647191129018725,-0.07647191129018725,0.9941348467724342,14,False,101;102;395,True
101,39,551,111.01000643524273,56.0,1.9823215434864774,0.8571428571428571,0.42857142857142855,-0.2857142857142857,22,False,102;1494,True
102,40,154,48.97056274847714,44.8998886412873,1.0906611181090256,0.0890870806374748,0.1781741612749496,-0.9799578870122228,12,False,103;104;403,True
103,40,488,62.340229919071554,41.7612260356422,1.4927777710804195,0.7662610281769211,-0.5746957711326908,0.2873478855663454,12,False,105,True
104,40,42,27.31370849898476,25.298221281347036,1.0796691275336336,0.0,0.9486832980505138,0.31622776601683794,7,False,107,True
105,41,546,87.88225099390857,64.1248781675256,1.3704860501148568,0.7485394338621664,-0.49902628924144427,0.4366480030862637,18,False,108;110,True
106,41,151,74.62741699796952,69.16646586316233,1.0789537395999245,0.05783149319662402,-0.17349447958987207,-0.9831353843426084,18,False,109;110;399,True
107,41,483,51.21247447773741,41.376321731154405,1.2377241942987127,0.6767155423319645,0.29002094671369905,0.6767155423319645,11,False,110,True
108,42,43,9.65685424949238,8.94427190999916,1.0796691275336336,0.0,0.4472135954999579,-0.8944271909999159,3,False,111;114,True
109,42,45,28.284271247461902,28.284271247461902,1.0,0.0,0.7071067811865475,0.7071067811865475,6,False,112;121,True
110,43,356,16.58505747976789,14.966629547095765,1.1081357648079275,0.8017837257372732,-0.5345224838248488,-0.2672612419124244,4,False,113;114;916,True
111,43,489,42.826969209028164,33.2264954516723,1.2889403058267064,0.9630868246861536,0.1203858530857692,0.2407717061715384,9,False,114;1325,True
112,44,411,106.52618297672218,80.19975062305369,1.3282607757398797,0.19950186722152657,-0.2493773340269082,-0.9476338693022512,24,False,115;118;1008,True
113,44,46,16.970562748477143,16.97056274847714,1.0000000000000002,0.0,0.7071067811865476,0.7071067811865476,4,False,116;123,True
114,44,355,13.856406460551018,11.313708498984761,1.224744871391589,0.7071067811865475,-0.7071067811865475,0.0,3,False,427;428;914,True
115,44,484,39.0265214200868,33.46640106136302,1.1661403731022317,0.7171371656006361,0.5976143046671968,-0.35856858280031806,7,False,428;1318,True
116,44,484,35.712812921102035,32.984845004941285,1.0827036754531387,0.7276068751089989,0.48507125007266594,-0.48507125007266594,7,False,118,True
117,45,157,40.97056274847714,37.094473981982816,1.1044923502184445,0.10783277320343841,-0.9704949588309457,0.21566554640687682,10,False,120;121;412,True
118,45,48,9.65685424949238,8.94427190999916,1.0796691275336336,0.0,0.8944271909999159,0.4472135954999579,3,False,121;127,True
119,46,171,52.58505747976789,48.16637831516918,1.0917378328859557,0.08304547985373997,0.0,-0.9965457582448796,13,False,122;123;446,True
120,46,49,11.313708498984761,11.313708498984761,1.0,0.0,0.7071067811865475,0.7071067811865475,3,False,123;129,True
121,47,357,29.17011495953578,21.540659228538015,1.354188590518619,0.5570860145311556,-0.3713906763541037,-0.7427813527082074,6,False,124;126;924,True
122,47,174,43.31370849898477,40.39801975344831,1.0721740511869415,0.09901475429766744,0.09901475429766744,-0.9901475429766744,11,False,125;126;453,True
123,47,48,40.97056274847714,36.22154055254967,1.1311104421148974,0.0,0.11043152607484653,0.9938837346736188,10,False,126;127,True
124,48,177,18.24191172926027,17.435595774162696,1.0462453916425631,0.22941573387056174,0.6882472016116852,0.6882472016116852,4,False,127;460,True
125,49,174,11.313708498984761,9.797958971132712,1.1547005383792517,0.4082482904638631,-0.4082482904638631,0.8164965809277261,3,False,128;129;453,True
126,49,50,27.31370849898476,25.298221281347036,1.0796691275336336,0.0,0.31622776601683794,-0.9486832980505138,7,False,129;131,True
127,50,414,56.97056274847715,43.81780460041329,1.3001692637960187,0.3651483716701107,-0.18257418583505536,-0.9128709291752769,14,False,130;131;1014,True
128,50,415,82.91168824543142,72.6636084983398,1.141034555795915,0.22019275302527214,0.27524094128159016,-0.9358192003574065,18,False,131;1016,True
129,51,500,90.81045422418408,68.0,1.3354478562380012,0.7058823529411765,-0.47058823529411764,-0.5294117647058824,18,False,132;134;1526,True
130,51,182,59.31370849898477,56.28498911788115,1.0538104284742842,0.07106690545187015,-0.07106690545187015,0.9949366763261821,15,False,133;134;474,True
131,51,570,83.59797974644665,48.16637831516918,1.7356085857117243,0.9965457582448796,0.08304547985373997,0.0,19,False,134;1547,True
132,52,358,47.41202668879605,34.40930106817051,1.3778840376578703,0.34874291623145787,-0.46499055497527714,0.813733471206735,9,False,135;928,True
133,52,53,23.31370849898476,21.540659228538015,1.0823117459700458,0.0,0.3713906763541037,0.9284766908852594,6,False,136;137;139,True
134,52,321,14.928203230275509,13.2664991614216,1.1252556570226206,0.30151134457776363,-0.30151134457776363,-0.9045340337332909,4,False,137;819,True
135,53,322,38.241911729260266,33.94112549695428,1.1267131295540544,0.23570226039551587,-0.23570226039551587,0.9428090415820635,9,False,138;139;821,True
136,53,200,34.241911729260266,30.72458299147443,1.1144792994834734,0.13018891098082389,0.39056673294247163,0.9113223768657671,8,False,139;511,True
137,54,323,19.513260710043397,18.76166303929372,1.04006029045376,0.42640143271122083,-0.6396021490668313,-0.6396021490668313,4,False,140;142;823,True
